timestamp,ear_ema,mar_ema,pitch,yolo_classes,status_text
1766758065.7406046,0.239,0.056,10.27,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758065.8287935,0.229,0.042,10.64,closed_eyes-closed_mouth,DIKKAT! (Goz Kapandi)
1766758065.9215736,0.184,0.031,11.22,closed_mouth,NORMAL
1766758066.0193517,0.152,0.026,12.43,None,NORMAL
1766758066.1288307,0.129,0.024,13.84,closed_eyes,DIKKAT! (Goz Kapandi)
1766758066.2226875,0.118,0.024,14.88,None,NORMAL
1766758066.3208437,0.112,0.031,12.79,None,NORMAL
1766758066.4263241,0.162,0.030,10.46,closed_mouth,NORMAL
1766758066.5361192,0.204,0.031,9.88,closed_mouth-open_eyes,DIKKAT! (Goz Kapandi)
1766758066.6392496,0.230,0.041,8.90,closed_mouth-open_eyes,NORMAL
1766758066.7541356,0.239,0.045,9.27,closed_mouth-open_eyes,NORMAL
1766758066.8684561,0.246,0.042,9.94,closed_mouth,NORMAL
1766758066.9812582,0.254,0.038,9.51,closed_mouth-open_eyes,NORMAL
1766758067.0945866,0.256,0.029,9.87,closed_mouth,NORMAL
1766758067.2118654,0.262,0.026,10.89,closed_mouth,NORMAL
1766758067.3106189,0.264,0.022,11.56,closed_mouth,NORMAL
1766758067.4025447,0.264,0.028,10.69,closed_mouth,NORMAL
1766758067.5052989,0.266,0.022,10.40,closed_mouth,NORMAL
1766758067.6237557,0.261,0.018,10.54,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758067.7429595,0.260,0.015,9.64,closed_mouth,NORMAL
1766758067.8351872,0.261,0.024,9.92,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758067.9471762,0.261,0.019,9.77,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758068.0489516,0.224,0.017,8.98,closed_mouth,NORMAL
1766758068.1543527,0.241,0.015,9.58,closed_mouth,NORMAL
1766758068.2501845,0.246,0.016,8.63,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758068.3705966,0.250,0.016,8.57,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758068.480021,0.250,0.021,9.00,closed_mouth,NORMAL
1766758068.5651996,0.248,0.018,8.89,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758068.6685712,0.248,0.018,8.84,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758068.7622502,0.246,0.015,8.20,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758068.846203,0.247,0.018,8.67,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758068.9478037,0.248,0.014,8.31,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.0428388,0.243,0.013,8.64,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.1338966,0.241,0.011,7.83,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.2284572,0.244,0.012,8.62,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.3576896,0.247,0.009,8.75,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.4553308,0.243,0.009,7.87,closed_mouth-open_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.5555809,0.242,0.008,8.95,closed_mouth-open_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.658706,0.240,0.008,7.82,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.74928,0.239,0.007,8.31,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.832348,0.239,0.008,8.24,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758069.919954,0.239,0.008,7.81,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758070.0255892,0.239,0.007,8.22,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758070.1333082,0.225,0.008,8.74,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758070.2368622,0.231,0.006,7.98,closed_mouth,NORMAL
1766758070.3416393,0.247,0.007,8.34,closed_mouth,NORMAL
1766758070.427679,0.256,0.008,6.38,closed_mouth-open_eyes,NORMAL
1766758070.5243073,0.262,0.007,7.01,closed_mouth-open_eyes,NORMAL
1766758070.6370187,0.260,0.007,7.67,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758070.757102,0.255,0.006,6.86,closed_mouth,NORMAL
1766758070.8466454,0.252,0.007,6.44,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758070.936672,0.249,0.005,5.84,closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758071.0477357,0.245,0.005,5.64,closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758071.1352751,0.244,0.006,5.70,closed_mouth,NORMAL
1766758071.231822,0.244,0.007,5.64,closed_mouth,NORMAL
1766758071.3711257,0.246,0.072,2.14,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758071.4541905,0.240,0.129,-0.03,open_eyes-closed_mouth,NORMAL
1766758071.5497777,0.236,0.113,2.11,closed_mouth,NORMAL
1766758071.6464293,0.233,0.105,3.06,closed_mouth,NORMAL
1766758071.7294824,0.233,0.076,7.40,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758071.8330777,0.239,0.055,6.35,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758071.9296138,0.239,0.041,7.11,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758072.02717,0.240,0.031,5.99,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
