epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,682.983,1.21318,0.63967,1.21,0.84318,0.89863,0.8863,0.56058,1.35498,0.71863,1.41037,0.000742625,0.000742625,0.000742625
43,698.919,1.19553,0.64268,1.20373,0.94527,0.86253,0.94488,0.58928,1.3734,0.68521,1.42328,0.00073025,0.00073025,0.00073025
44,715.43,1.19452,0.64037,1.18854,0.91543,0.92351,0.94493,0.59254,1.35873,0.65363,1.42082,0.000717875,0.000717875,0.000717875
45,731.38,1.18523,0.64277,1.1831,0.9204,0.90654,0.95081,0.58902,1.39686,0.68067,1.45414,0.0007055,0.0007055,0.0007055
46,747.76,1.17921,0.63454,1.17483,0.87246,0.91572,0.8938,0.5559,1.37165,0.71867,1.42436,0.000693125,0.000693125,0.000693125
47,764.086,1.17705,0.61285,1.18215,0.943,0.90871,0.95514,0.56725,1.44517,0.65182,1.49022,0.00068075,0.00068075,0.00068075
48,780.235,1.16912,0.61481,1.16827,0.8851,0.87911,0.93075,0.58233,1.35157,0.71493,1.41578,0.000668375,0.000668375,0.000668375
49,796.606,1.15432,0.62708,1.18005,0.94665,0.92059,0.96747,0.59249,1.36593,0.64403,1.43949,0.000656,0.000656,0.000656
50,814.229,1.16166,0.60941,1.17274,0.94541,0.89811,0.95835,0.59944,1.34253,0.64712,1.41655,0.000643625,0.000643625,0.000643625
51,833.409,1.12366,0.59448,1.1616,0.88459,0.9071,0.87597,0.54551,1.34674,0.77684,1.4289,0.00063125,0.00063125,0.00063125
52,852.804,1.12951,0.60517,1.15695,0.83439,0.91815,0.87507,0.54112,1.36783,0.79288,1.45294,0.000618875,0.000618875,0.000618875
53,871.438,1.12177,0.58952,1.14767,0.91868,0.91426,0.92721,0.56758,1.38416,0.64425,1.46854,0.0006065,0.0006065,0.0006065
54,887.433,1.13588,0.57638,1.15183,0.90981,0.89819,0.9165,0.5746,1.35439,0.69641,1.43867,0.000594125,0.000594125,0.000594125
55,903.505,1.08557,0.5758,1.15284,0.8499,0.88485,0.85841,0.54049,1.35128,0.85003,1.42595,0.00058175,0.00058175,0.00058175
56,919.92,1.11595,0.58195,1.14537,0.88492,0.91591,0.90172,0.56175,1.3771,0.75061,1.47384,0.000569375,0.000569375,0.000569375
57,936.219,1.09293,0.5777,1.13811,0.94975,0.89388,0.96437,0.60032,1.36887,0.60756,1.4404,0.000557,0.000557,0.000557
58,952.424,1.09346,0.57209,1.14428,0.91819,0.91792,0.92704,0.57665,1.38417,0.68575,1.46515,0.000544625,0.000544625,0.000544625
59,968.893,1.09605,0.56612,1.13325,0.93194,0.91198,0.96213,0.60288,1.37127,0.61951,1.45343,0.00053225,0.00053225,0.00053225
60,985.257,1.06949,0.55142,1.10973,0.92803,0.88265,0.92945,0.59144,1.32561,0.6356,1.4282,0.000519875,0.000519875,0.000519875
61,1001.41,1.10347,0.56982,1.1451,0.8542,0.92738,0.88713,0.56268,1.3101,0.75632,1.41911,0.0005075,0.0005075,0.0005075
62,1017.67,1.07373,0.55281,1.14092,0.90593,0.90633,0.90329,0.5772,1.32529,0.70999,1.41489,0.000495125,0.000495125,0.000495125
63,1033.81,1.08492,0.56458,1.14342,0.88067,0.92762,0.9105,0.57554,1.32802,0.68121,1.41531,0.00048275,0.00048275,0.00048275
64,1050.05,1.0658,0.54644,1.12596,0.91608,0.93198,0.95048,0.60564,1.31014,0.60961,1.41497,0.000470375,0.000470375,0.000470375
65,1066.28,1.06086,0.54938,1.11757,0.87732,0.93906,0.91523,0.59097,1.31892,0.67538,1.41664,0.000458,0.000458,0.000458
66,1082.33,1.04463,0.53468,1.1168,0.86875,0.90007,0.85459,0.55018,1.3116,1.07211,1.41994,0.000445625,0.000445625,0.000445625
67,1098.4,1.06155,0.54163,1.12899,0.86827,0.92313,0.8717,0.55147,1.32249,1.05657,1.42796,0.00043325,0.00043325,0.00043325
68,1115.38,1.04083,0.53479,1.12039,0.8489,0.92044,0.8857,0.56175,1.3394,0.79596,1.43783,0.000420875,0.000420875,0.000420875
69,1134.14,1.03315,0.53601,1.09688,0.95024,0.90179,0.96514,0.60634,1.34953,0.60476,1.46151,0.0004085,0.0004085,0.0004085
70,1154.89,1.03471,0.52412,1.10504,0.85787,0.92156,0.90481,0.56738,1.38169,0.76126,1.49149,0.000396125,0.000396125,0.000396125
